SNo,Channel Name,Channel Description,Channel URL,Channel Subscribers,Channel Videos,Channel Views,Channel Creation Date,Thumbnail Path,Email,Social Links
1,Búzios Podcast,"",https://www.youtube.com/channel/UCg0T1Neld7CWCq_hD9TE47w,135,13,2515,,Búzios Podcast.jpg,"",""
2,PUSH - der Podcast für deutschen Gospelrap!,"Das Podcastformat von Johnny Sox und Jermaine Dobbins jetzt auch auf YouTube!

Hier findest du ausgewählte Interviews, das Gospelrapquiz von und mit Tobi Dos Santos und einiges mehr.

PUSH - der Podcast für deutschen Gospelrap!
powered by Asphalt Diamant
",https://www.youtube.com/channel/UCaXh7S7Yno97RqtuCjbKJnA,34,2,659,,PUSH - der Podcast für deutschen Gospelrap!.jpg,"",""
3,Por Elas Podcast,"",https://www.youtube.com/channel/UCXNtifw9GWEPCSPBiizluVA,496,8,10280,,Por Elas Podcast.jpg,"",""
4,The Backroom Podcast,"Taking a deep dive into the Backroom, where mentally stimulating convos happen that just might change your life. Hosted by @thejorgeco, @i.t.s.a.l, and friends. ",https://www.youtube.com/channel/UCUXJXsXMl8h9LMZ37v2Fqpg,57,2,743,,The Backroom Podcast.jpg,"",""
5,É Sobre Isso - Podcast,"",https://www.youtube.com/channel/UCNajsfMHaEv0Hb2cx0ExTgw,194,5,1629,,É Sobre Isso - Podcast.jpg,"",""
6,Podcast Pa Dilanti,"",https://www.youtube.com/channel/UCFsQk8eGy9RNCVUtfPxZDJA,19,1,695,,Podcast Pa Dilanti.jpg,"",""
7,Estúdio José Florêncio Podcast,"Canal de oficial do programa Estúdio José Florêncio Podcast, realizado no Estúdio José Florêncio, com apresentação de Samantha Rocha e José Florêncio.",https://www.youtube.com/channel/UC_NkKeD69PdlOmXe5vbpEsQ,197,93,12414,,Estúdio José Florêncio Podcast.jpg,"",""
8,Cotidiano Podcast,"O podcast sobre o cotidiano. Histórias e humor. Venha ouvir o cotidiano desses dois e de seus convidados.

Todo domingo ao vivo, gravado as quintas.
",https://www.youtube.com/channel/UCl-IPvyac6hL7B_1M4lw4Ww,102,17,1468,,Cotidiano Podcast.jpg,"",""
9,Âncora Podcast,"Fale com a gente no Instagram: https://www.instagram.com/ancorapodcast/

Anfitriões:
Beto Lemos: https://www.instagram.com/lemos.pdc/
Thiago Lemos: https://www.instagram.com/thiago.pod/

Diretor Comercial: https://www.instagram.com/claudiorobertobarz/

Direção Geral: https://www.instagram.com/pedroroleprod/

#ancorapodcast #roleprod
",https://www.youtube.com/channel/UCA_8JNJzbi81tDi-nAdgJeQ,312,28,6711,,Âncora Podcast.jpg,"","https://www.instagram.com/ancorapodcast/
https://www.instagram.com/lemos.pdc/
https://www.instagram.com/thiago.pod/
https://www.instagram.com/claudiorobertobarz/
https://www.instagram.com/pedroroleprod/"
10,5th Quarter Podcast,"",https://www.youtube.com/channel/UC0Cp2MFP8lAiP4_LvkMvqNQ,41,2,640,,5th Quarter Podcast.jpg,"",""
